combination_id,source_category,source_label,scope_urls,data_sensitivity,persistence,transitive_exposure,scope_count,cross_service_breadth,has_restricted_scope,access_level,risk_label
SC-0000,Student Created,Offline access to actively monitor fitness activity and have access to body metrics and full access to Google Sheets,openid; profile; email; https://www.googleapis.com/auth/fitness.activity.read; https://www.googleapis.com/auth/fitness.body.read; https://www.googleapis.com/auth/spreadsheets,4,1,0,6,3,0,2,Critical
SC-0001,Student Created,"Full online access to YouTube account, including uploading and managing videos. Also includes access to Google Drive files you use with this application.",openid; profile; email; https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/drive.file,4,0,0,5,3,0,2,High
SC-0002,Student Created,"Authentication, email adress, personalization data and manage and send drafts as well as read only access to contacts while online.",openid; profile; email; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/gmail.compose,5,0,1,5,3,0,1,High
SC-0003,Student Created,"Authentication, email adress, personalization data and full offline read/write access to all files in cloud storage and files in drive that you use with this app.",openid; profile; email; https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/drive.file,4,1,0,5,3,0,1,High
SC-0004,Student Created,"Authentication, email adress, personalization data and full access to photos and cloud storage while online.",openid; profile; email; https://www.googleapis.com/auth/photoslibrary,4,0,0,4,2,0,2,High
SC-0005,Student Created,"Authentication, email adress, personalization data and see, edit, and create Google Docs and Google Presentations while online.",openid; profile; email; https://www.googleapis.com/auth/presentations; https://www.googleapis.com/auth/documents,4,0,0,5,3,0,2,High
SC-0006,Student Created,"Authentication, email adress, personalization data and online access to read all Google Tasks and all Google Calendar events. Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/tasks.readonly; https://www.googleapis.com/auth/calendar.events.readonly,3,0,0,5,3,0,0,Medium
SC-0007,Student Created,"Authentication, email adress, personalization data and online access to managing Firebase and Google Compute Engine resources ",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/compute,3,0,0,5,3,0,2,High
SC-0008,Student Created,Online authentication with read only access to AdSense revenue data and YouTube channel analytics.,openid; profile; email; https://www.googleapis.com/auth/adsense.readonly; https://www.googleapis.com/auth/youtube.readonly,3,0,0,5,3,0,0,Medium
SC-0009,Student Created,"Online access to composing, seeing, sending, updating, and deleting messages in Google Chat as well as read only access to contacts.",openid; profile; email; https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/contacts.readonly,4,0,1,5,3,0,2,High
SC-0010,Student Created,"Online read only access to Google Sheets, Google Documents, Google Presentations and Google Photos",openid; profile; email; https://www.googleapis.com/auth/presentations.readonly; https://www.googleapis.com/auth/documents.readonly; https://www.googleapis.com/auth/photoslibrary.readonly; https://www.googleapis.com/auth/spreadsheets.readonly,4,0,0,7,5,0,0,High
SC-0012,Student Created,Online access to view the email adress of people in your Google Classroom classes aswell as write access to send mail via GMail.,openid; profile; email; https://www.googleapis.com/auth/classroom.profile.emails; https://www.googleapis.com/auth/gmail.send,5,0,1,5,3,1,1,Critical
SC-0013,Student Created,Full offline access to Google BigQuery for data processing and read write access to Google Cloud Storage.,https://www.googleapis.com/auth/bigquery; https://www.googleapis.com/auth/devstorage.read_write,3,1,0,2,2,0,2,High
SC-0014,Student Created,"Full offline access to Firebase data and settings, full access to your Google Sheets, full access to App Scripts projects and deployments",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/spreadsheets; https://www.googleapis.com/auth/script.deployments; https://www.googleapis.com/auth/script.projects,4,1,0,7,4,0,2,Critical
SC-0015,Student Created,"Online access to managing permisioning in your domain, reading user directory, and managing email sharing settings.",https://www.googleapis.com/auth/admin.directory.rolemanagement; https://www.googleapis.com/auth/admin.directory.user.readonly; https://www.googleapis.com/auth/gmail.settings.sharing,5,0,1,3,2,1,3,Critical
SC-0016,Student Created,"Online read write access to personal Google Calendar events, Google Keep notes, and Google Tasks.",openid; profile; email; https://www.googleapis.com/auth/keep; https://www.googleapis.com/auth/tasks; https://www.googleapis.com/auth/calendar.events.owned,4,0,0,6,4,1,2,Critical
SC-0018,Student Created,"Full access to composing, sending, updating, and deleting Google Chat messages with read only access to Google Drive.",openid; profile; email; https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/drive.readonly,4,0,0,5,3,1,2,High
SC-0019,Student Created,"Full offline access to read and write to Google Cloud Storage and manage data transfers between users in your organization, for automated movement of data.",https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/admin.datatransfer,5,1,1,2,2,0,3,Critical
SC-0020,Student Created,"Full offline access to your Google Blogger account, Google Analytics, and Google App Scripts projects",openid; profile; email; https://www.googleapis.com/auth/blogger; https://www.googleapis.com/auth/analytics; https://www.googleapis.com/auth/script.projects,3,1,0,6,4,0,2,High
SC-0021,Student Created,Basic sign-in only,openid; profile; email,1,0,0,3,1,0,0,Low
