combination_id,source_category,source_label,scope_urls,email,mail.google.com,admin.datatransfer,admin.directory.domain,admin.directory.group,admin.directory.rolemanagement,admin.directory.user,admin.directory.user.readonly,admin.directory.user.security,admin.reports.audit.readonly,adsense,adsense.readonly,analytics,analytics.edit,analytics.manage.users,analytics.readonly,bigquery,bigquery.insertdata,blogger,blogger.readonly,calendar,calendar.acls,calendar.acls.readonly,calendar.app.created,calendar.calendarlist,calendar.calendarlist.readonly,calendar.calendars,calendar.calendars.readonly,calendar.events,calendar.events.freebusy,calendar.events.owned,calendar.events.owned.readonly,calendar.events.public.readonly,calendar.events.readonly,calendar.freebusy,calendar.readonly,calendar.settings.readonly,chat.delete,chat.memberships,chat.messages,chat.messages.readonly,chat.spaces,chat.spaces.readonly,classroom.courses,classroom.courses.readonly,classroom.coursework.students,classroom.profile.emails,classroom.rosters,cloud-platform,cloud-platform.read-only,compute,compute.readonly,contacts,contacts.other.readonly,contacts.readonly,devstorage.full_control,devstorage.read_only,devstorage.read_write,directory.readonly,documents,documents.readonly,drive,drive.activity,drive.activity.readonly,drive.appdata,drive.file,drive.metadata,drive.metadata.readonly,drive.photos.readonly,drive.readonly,drive.scripts,firebase,firebase.messaging,firebase.readonly,fitness.activity.read,fitness.activity.write,fitness.blood_glucose.read,fitness.blood_pressure.read,fitness.body.read,fitness.heart_rate.read,fitness.location.read,fitness.sleep.read,forms,forms.body,forms.body.readonly,forms.currentonly,forms.responses.readonly,gmail.addons.current.action.compose,gmail.addons.current.message.action,gmail.addons.current.message.metadata,gmail.addons.current.message.readonly,gmail.compose,gmail.insert,gmail.labels,gmail.metadata,gmail.modify,gmail.readonly,gmail.send,gmail.settings.basic,gmail.settings.sharing,groups,keep,keep.readonly,photoslibrary,photoslibrary.appendonly,photoslibrary.readonly,photoslibrary.readonly.appcreateddata,presentations,presentations.readonly,script.deployments,script.projects,script.projects.readonly,spreadsheets,spreadsheets.readonly,tasks,tasks.readonly,user.addresses.read,user.birthday.read,user.emails.read,user.gender.read,user.organization.read,user.phonenumbers.read,userinfo.email,userinfo.profile,youtube,youtube.force-ssl,youtube.readonly,youtube.upload,youtubepartner,openid,profile,offline,risk_label
SC-0000,Student Created,Offline access to actively monitor fitness activity and have access to body metrics and full access to Google Sheets,openid; profile; email; https://www.googleapis.com/auth/fitness.activity.read; https://www.googleapis.com/auth/fitness.body.read; https://www.googleapis.com/auth/spreadsheets,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,Critical
SC-0001,Student Created,"Full online access to YouTube account, including uploading and managing videos. Also includes access to Google Drive files you use with this application.",openid; profile; email; https://www.googleapis.com/auth/youtube; https://www.googleapis.com/auth/drive.file,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,High
SC-0002,Student Created,"Authentication, email adress, personalization data and manage and send drafts as well as read only access to contacts while online.",openid; profile; email; https://www.googleapis.com/auth/contacts.readonly; https://www.googleapis.com/auth/gmail.compose,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High
SC-0003,Student Created,"Authentication, email adress, personalization data and full offline read/write access to all files in cloud storage and files in drive that you use with this app.",openid; profile; email; https://www.googleapis.com/auth/devstorage.read_write; https://www.googleapis.com/auth/drive.file,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,High
SC-0004,Student Created,"Authentication, email adress, personalization data and full access to photos and cloud storage while online.",openid; profile; email; https://www.googleapis.com/auth/photoslibrary,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High
SC-0005,Student Created,"Authentication, email adress, personalization data and see, edit, and create Google Docs and Google Presentations while online.",openid; profile; email; https://www.googleapis.com/auth/presentations; https://www.googleapis.com/auth/documents,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High
SC-0006,Student Created,"Authentication, email adress, personalization data and online access to read all Google Tasks and all Google Calendar events. Offline refresh token",openid; profile; email; https://www.googleapis.com/auth/tasks.readonly; https://www.googleapis.com/auth/calendar.events.readonly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Medium
SC-0007,Student Created,"Authentication, email adress, personalization data and online access to managing Firebase and Google Compute Engine resources ",openid; profile; email; https://www.googleapis.com/auth/firebase; https://www.googleapis.com/auth/compute,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High
SC-0008,Student Created,Online authentication with read only access to AdSense revenue data and YouTube channel analytics.,openid; profile; email; https://www.googleapis.com/auth/adsense.readonly; https://www.googleapis.com/auth/youtube.readonly,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,Medium
SC-0009,Student Created,"Online access to composing, seeing, sending, updating, and deleting messages in Google Chat as well as read only access to contacts.",openid; profile; email; https://www.googleapis.com/auth/chat.messages; https://www.googleapis.com/auth/contacts.readonly,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,High
